id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code
2056,DAAT,large_airport,Aguenar â€“ Hadj Bey Akhamok Airport,22.810992,5.450832,4518,AF,DZ,DZ-11,Tamanrasset,yes,DAAT,TMR,DAAT,
2057,DAAV,large_airport,Jijel Ferhat Abbas Airport,36.794125,5.873652,36,AF,DZ,DZ-18,Tahir,yes,DAAV,GJL,DAAV,
2058,DAAY,medium_airport,Mecheria Airport,33.53590012,-0.242353007,3855,AF,DZ,DZ-45,Mecheria,no,DAAY,MZW,DAAY,
2060,DABB,large_airport,Annaba Rabah Bitat Airport,36.826781,7.81334,16,AF,DZ,DZ-23,Annaba,yes,DABB,AAE,DABB,
2061,DABC,large_airport,Mohamed Boudiaf International Airport,36.276001,6.62039,2265,AF,DZ,DZ-25,Constantine,yes,DABC,CZL,DABC,
2062,DABS,medium_airport,Cheikh Larbi TÃ©bessi Airport,35.43159866,8.12071991,2661,AF,DZ,DZ-12,TÃ©bessi,yes,DABS,TEE,DABS,
2063,DABT,large_airport,Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,2697,AF,DZ,DZ-05,Batna,yes,DABT,BLJ,DABT,
2064,DAFH,medium_airport,Hassi R'Mel Airport,32.930401,3.31154,2540,AF,DZ,DZ-03,Hassi R'Mel,no,DAFH,HRM,DAFH,
2065,DAOB,medium_airport,Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,3245,AF,DZ,DZ-14,Tiaret,no,DAOB,TID,DAOB,
2067,DAOF,medium_airport,Tindouf Airport,27.7003994,-8.167099953,1453,AF,DZ,DZ-37,Tindouf,yes,DAOF,TIN,DAOF,
2068,DAOI,large_airport,Chlef Aboubakr Belkaid International Airport,36.216614,1.341114,463,AF,DZ,DZ-02,Chlef,yes,DAOI,CFK,DAOI,
2069,DAOL,medium_airport,Oran Tafraoui Airport,35.5424,-0.532278,367,AF,DZ,DZ-31,Tafraoui,no,DAOL,TAF,DAOL,
